"","Facet_text","median","min","max","q_25","q_75","q_25_15IQR","q_75_15IQR","q_10","q_90"
"1","2060 Gender",1,0,1.0509371356829,0.999985514382019,1.00000731004839,0.99995282088246,1.00004000354795,0.685031722873837,1.00033551005378
"2","4020 Pregnancy (urine/serum) test ordered",0.120666719302345,0,0.864129064784472,0.065765747857549,0.176555490719973,-0.100418866436087,0.34274010501361,0.0306050839652281,0.289406345314505
"3","4025 Pregnancy (urine/serum) test ordered-Date",0.120666719302345,0,0.864129064784472,0.065765747857549,0.176555490719973,-0.100418866436087,0.34274010501361,0.0306050839652281,0.289406345314505
"4","4040 Diagnosis of hysterectomy",1.97043539289015e-05,0,0.0135902507496969,5.49346444217132e-05,0.000540329272710028,-0.00067315729801076,0.0012684212151425,2.63492891085567e-05,0.00141798369983994
"5","4045 Patient post-menopausal",0.000111341966964063,0,0.00237332384003797,9.45206217984157e-05,0.000206684332181845,-7.37249437767277e-05,0.000374929897756988,5.54046177085368e-05,0.000340914191568239
"6","8020 Date and timing of diagnosis of hysterectomy",1.97043539289015e-05,0,0.0135902507496969,5.49346444217132e-05,0.000540329272710028,-0.00067315729801076,0.0012684212151425,2.63492891085567e-05,0.00141798369983994
"7","8025 Date and timing of postmenopausal",0.000111341966964063,0,0.00237332384003797,9.45206217984157e-05,0.000206684332181845,-7.37249437767277e-05,0.000374929897756988,5.54046177085368e-05,0.000340914191568239
"8","8030 Diagnosis of pregnancy",0.0178865255040313,0.000480982684623354,0.0423824004821786,0.011354956766789,0.024239138216678,-0.00797131540804446,0.0435654103915115,0.00778167412906765,0.0305081786625037
"9","8035 Date and timing of pregnancy",0.0178865255040313,0.000480982684623354,0.0423824004821786,0.011354956766789,0.024239138216678,-0.00797131540804446,0.0435654103915115,0.00778167412906765,0.0305081786625037
"10","8500 Emergency Department Visit",0.966020310359904,0,1,0.950068624225088,0.979776771158783,0.905506403824545,1.02433899155933,0.929789833975381,0.994634205819369
"11","8505 Date and Time of arrival (onset) to Emergency Department",1,1,1,1,1,1,1,1,1
"12","8506 Date and Time of departure (abatement) from Emergency Department",1,1,1.0509371356829,1,1.0000036550242,0.999994517463706,1.00000913756049,1,1.00025673373979
"13","9210 Complaint of abdominal pain",0.0875377787782716,0.0310597334210959,0.272457576836359,0.0686646002327949,0.101569687187699,0.019306969800438,0.150927317620056,0.0510314990081134,0.123218405374755
"14","9215 Date and time of complaint of abdominal pain",0.0875377787782716,0.0310597334210959,0.272457576836359,0.0686646002327949,0.101569687187699,0.019306969800438,0.150927317620056,0.0510314990081134,0.123218405374755
