"","EDName","High_OL_count","LOW_OL_count"
"1","Baltimore Washington Medical Center Department of Emergency Medicine",NA,NA
"2","Beloit Memorial Hospital",NA,NA
"3","Bon Secours Hospital",NA,NA
"4","Bronson Battle Creek",NA,NA
"5","Bronson LakeView Hospital",NA,NA
"6","Bronson Methodist Hospital",NA,NA
"7","CHI Baylor St. Luke's CEC Holcombe",NA,NA
"8","CHI Baylor-St. Luke's CEC Pearland",NA,NA
"9","CHI Baylor-St. Luke's CEC San Felipe",NA,NA
"10","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ",NA,NA
"11","CHI St. Luke's Lakeside Hospital",NA,NA
"12","CHI St. Luke's Springwoods Village Hospital",NA,NA
"13","CHI St. Luke's Sugarland Hospital",NA,NA
"14","CHI St. Luke's Vintage Hospital",NA,NA
"15","CHI St. Luke's Woodlands Hospital",NA,NA
"16","Cape Canaveral Hospital",NA,NA
"17","Carolina East Medical Center (CRAV)",NA,NA
"18","Carolinas HealthCare System Harrisburg (HARG)",NA,NA
"19","Carolinas HealthCare System Kannapolis (KANN)",NA,NA
"20","Carolinas HealthCare System Lincoln (LINC)",NA,NA
"21","Carolinas HealthCare System NorthEast (NORT)",NA,NA
"22","Carolinas HealthCare System Pineville (PINE)",NA,NA
"23","Carolinas HealthCare System SouthPark (MORR)",NA,NA
"24","Carolinas HealthCare System Steele Creek (STEE)",NA,NA
"25","Carolinas HealthCare System University (UNIV)",NA,NA
"26","Carolinas Medical Center - Huntersville (HUNT)",NA,NA
"27","Carolinas Medical Center - Mercy (MERC)",NA,NA
"28","Carson Valley Medical Center",NA,NA
"29","Carteret Health Care (CART)",NA,NA
"30","Centinela Hospital Medical Center",NA,NA
"31","CentraCare Health St. Cloud Hospital",NA,NA
"32","Coast Plaza Hospital",NA,NA
"33","College Medical Center",NA,NA
"34","Doctors Hospital at Renaissance",NA,NA
"35","East Los Angeles Doctors Hospital",NA,NA
"36","Emerson Hospital",NA,NA
"37","Fairview Ridges Hospital",NA,NA
"38","Fairview Southdale Hospital",NA,NA
"39","Flagstaff Medical Center",NA,NA
"40","Florida Hospital Carrollwood (CARO)",NA,NA
"41","Florida Hospital Heartland Medical Center (HART)",NA,NA
"42","Florida Hospital Lake Placid (PLAC)",NA,NA
"43","Florida Hospital North Pinellas (NPIN)",NA,NA
"44","Florida Hospital Tampa (TAMP)",NA,NA
"45","Florida Hospital Wauchula (WAUC)",NA,NA
"46","Florida Hospital Wesley Chapel (WECH)",NA,NA
"47","Florida Hospital Zephyrhills (FLOZ)",NA,NA
"48","Gila Regional Medical Center",NA,NA
"49","Goleta Valley Cottage Hospital",NA,NA
"50","Health Partners Methodist Hospital",NA,NA
"51","Hollywood Presbyterian Medical Center",NA,NA
"52","Holmes Regional Medical Center",NA,NA
"53","Holy Family Hospital",NA,NA
"54","Indian River Medical Center",NA,NA
"55","Inspira Health Center Bridgeton SED",NA,NA
"56","Inspira Medical Center Elmer",NA,NA
"57","Inspira Medical Center Vineland ED",NA,NA
"58","Little Company of Mary Hospital (Providence)",NA,NA
"59","Memorial Hospital of Gardena",NA,NA
"60","Mercy Health - Clermont Hospital (MEHE)",NA,NA
"61","Mercy Medical Center",NA,NA
"62","Mission Community Hospital",NA,NA
"63","Mt. San Rafael Hospital",NA,NA
"64","MultiCare Auburn Medical Center",NA,NA
"65","North Mississippi Medical Center",NA,NA
"66","NorthPointe Immediate Care",NA,NA
"67","Norton Women and Childrens Hospital",NA,NA
"68","Olathe Medical Center",NA,NA
"69","Palm Bay Hospital",NA,NA
"70","Palm Harbor Emergency Room (PALM)",NA,NA
"71","Parkview Community Hospital Medical Center",NA,NA
"72","Penn Highlands Brookville",NA,NA
"73","Penn Highlands Clearfield",NA,NA
"74","Penn Highlands Elk",NA,NA
"75","Providence Regional Medical Center",NA,NA
"76","Providence St.Joseph Medical Center",NA,NA
"77","Providence Tarzana Medical Center",NA,NA
"78","Queen Anne's Emergency Center (UMMS)",NA,NA
"79","Queen's Medical Center West",NA,NA
"80","Rhode Island Hospital",NA,NA
"81","Robert Wood Johnson University Hospital",NA,NA
"82","SMRMC",NA,NA
"83","Sacred Heart Medical Center",NA,NA
"84","Sacred Heart Medical Center Pediatrics",NA,NA
"85","Santa Barbara Cottage Hospital",NA,NA
"86","Shasta Regional Medical Center",NA,NA
"87","St. Joseph's/Candler",NA,NA
"88","Swedish Issaquah",NA,NA
"89","Swedish Medical Center Cherry Hill Campus",NA,NA
"90","Swedish Medical Center First Hill Campus",NA,NA
"91","Swedish Mill Creek",NA,NA
"92","Swedish Redmond Campus",NA,NA
"93","Telluride Regional Medical Center ED",NA,NA
"94","The Miriam Hospital",NA,NA
"95","The Queens Medical Center",NA,NA
"96","The Urgency Room - Eagan",NA,NA
"97","The Urgency Room - Vadnais",NA,NA
"98","The Urgency Room - Woodbury",NA,NA
"99","The Valley Hospital",NA,NA
"100","UM Shore Medical Center at Dorchester (UMMS)",NA,NA
"101","UM Shore Medical Center at Easton (UMMS)",NA,NA
"102","UMMC Midtown Campus (UMMS)",NA,NA
"103","University of Maryland Harford Memorial Hospital (UMMS)",NA,NA
"104","University of Maryland Medical Center (UMMS)",NA,NA
"105","University of Maryland Upper Chesapeake Medical Center (UMMS)",NA,NA
"106","Urgent Care at Doctors Hospital at Renaissance",NA,NA
"107","Valley Presbyterian Hospital",NA,NA
"108","Viera Hospital",NA,NA
