"","EDName","High_OL_count","LOW_OL_count"
"1","Baltimore Washington Medical Center Department of Emergency Medicine",1,1
"2","Beloit Memorial Hospital",3,0
"3","Bon Secours Hospital",2,2
"4","Bronson Battle Creek",3,0
"5","Bronson LakeView Hospital",3,0
"6","Bronson Methodist Hospital",3,0
"7","CHI Baylor St. Luke's CEC Holcombe",2,0
"8","CHI Baylor-St. Luke's CEC Pearland",2,0
"9","CHI Baylor-St. Luke's CEC San Felipe",2,0
"10","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ",2,0
"11","CHI St. Luke's Lakeside Hospital",3,2
"12","CHI St. Luke's Springwoods Village Hospital",4,0
"13","CHI St. Luke's Sugarland Hospital",2,0
"14","CHI St. Luke's Vintage Hospital",4,0
"15","CHI St. Luke's Woodlands Hospital",6,0
"16","Cape Canaveral Hospital",1,0
"17","Carolina East Medical Center (CRAV)",3,0
"18","Carolinas HealthCare System Harrisburg (HARG)",1,0
"19","Carolinas HealthCare System Kannapolis (KANN)",1,0
"20","Carolinas HealthCare System Lincoln (LINC)",1,0
"21","Carolinas HealthCare System NorthEast (NORT)",1,1
"22","Carolinas HealthCare System Pineville (PINE)",1,0
"23","Carolinas HealthCare System SouthPark (MORR)",1,2
"24","Carolinas HealthCare System Steele Creek (STEE)",3,0
"25","Carolinas HealthCare System University (UNIV)",3,0
"26","Carolinas Medical Center - Huntersville (HUNT)",1,0
"27","Carolinas Medical Center - Mercy (MERC)",1,0
"28","Carson Valley Medical Center",1,2
"29","Carteret Health Care (CART)",1,0
"30","Centinela Hospital Medical Center",3,1
"31","CentraCare Health St. Cloud Hospital",1,0
"32","Coast Plaza Hospital",1,2
"33","College Medical Center",1,3
"34","Doctors Hospital at Renaissance",1,0
"35","East Los Angeles Doctors Hospital",1,3
"36","Emerson Hospital",4,0
"37","Fairview Ridges Hospital",2,2
"38","Fairview Southdale Hospital",2,2
"39","Flagstaff Medical Center",4,1
"40","Florida Hospital Carrollwood (CARO)",3,0
"41","Florida Hospital Heartland Medical Center (HART)",1,0
"42","Florida Hospital Lake Placid (PLAC)",1,0
"43","Florida Hospital North Pinellas (NPIN)",1,0
"44","Florida Hospital Tampa (TAMP)",3,0
"45","Florida Hospital Wauchula (WAUC)",3,0
"46","Florida Hospital Wesley Chapel (WECH)",3,0
"47","Florida Hospital Zephyrhills (FLOZ)",1,1
"48","Gila Regional Medical Center",1,0
"49","Goleta Valley Cottage Hospital",1,0
"50","Health Partners Methodist Hospital",7,0
"51","Hollywood Presbyterian Medical Center",3,3
"52","Holmes Regional Medical Center",1,3
"53","Holy Family Hospital",1,5
"54","Indian River Medical Center",1,1
"55","Inspira Health Center Bridgeton SED",3,0
"56","Inspira Medical Center Elmer",1,0
"57","Inspira Medical Center Vineland ED",8,0
"58","Little Company of Mary Hospital (Providence)",1,3
"59","Memorial Hospital of Gardena",3,3
"60","Mercy Health - Clermont Hospital (MEHE)",1,0
"61","Mercy Medical Center",3,0
"62","Mission Community Hospital",3,0
"63","Mt. San Rafael Hospital",1,0
"64","MultiCare Auburn Medical Center",1,2
"65","North Mississippi Medical Center",1,0
"66","NorthPointe Immediate Care",1,2
"67","Norton Women and Childrens Hospital",3,0
"68","Olathe Medical Center",1,0
"69","Palm Bay Hospital",1,0
"70","Palm Harbor Emergency Room (PALM)",1,0
"71","Parkview Community Hospital Medical Center",1,0
"72","Penn Highlands Brookville",6,1
"73","Penn Highlands Clearfield",3,1
"74","Penn Highlands Elk",1,0
"75","Providence Regional Medical Center",1,0
"76","Providence St.Joseph Medical Center",1,3
"77","Providence Tarzana Medical Center",1,3
"78","Queen Anne's Emergency Center (UMMS)",1,2
"79","Queen's Medical Center West",1,0
"80","Rhode Island Hospital",4,0
"81","Robert Wood Johnson University Hospital",6,0
"82","SMRMC",3,0
"83","Sacred Heart Medical Center",1,1
"84","Sacred Heart Medical Center Pediatrics",3,2
"85","Santa Barbara Cottage Hospital",6,1
"86","Shasta Regional Medical Center",3,3
"87","St. Joseph's/Candler",3,0
"88","Swedish Issaquah",1,0
"89","Swedish Medical Center Cherry Hill Campus",1,0
"90","Swedish Medical Center First Hill Campus",1,3
"91","Swedish Mill Creek",1,2
"92","Swedish Redmond Campus",1,2
"93","Telluride Regional Medical Center ED",1,3
"94","The Miriam Hospital",4,2
"95","The Queens Medical Center",3,2
"96","The Urgency Room - Eagan",1,0
"97","The Urgency Room - Vadnais",1,2
"98","The Urgency Room - Woodbury",1,2
"99","The Valley Hospital",1,0
"100","UM Shore Medical Center at Dorchester (UMMS)",1,0
"101","UM Shore Medical Center at Easton (UMMS)",1,3
"102","UMMC Midtown Campus (UMMS)",1,1
"103","University of Maryland Harford Memorial Hospital (UMMS)",1,4
"104","University of Maryland Medical Center (UMMS)",1,2
"105","University of Maryland Upper Chesapeake Medical Center (UMMS)",1,1
"106","Urgent Care at Doctors Hospital at Renaissance",1,2
"107","Valley Presbyterian Hospital",5,3
"108","Viera Hospital",1,2
