"","Facet_text","median","min","max","q_25","q_75","q_25_15IQR","q_75_15IQR","q_10","q_90"
"1","6100 Diagnosis of minor blunt head trauma (non-penetrating injuries)",0.0338626230220545,0.000180954535173038,0.237925714963807,0.0277452149163679,0.0410535455148973,0.00778271901857378,0.0610160414126914,0.0217238524203404,0.0480477523322344
"2","6105 Onset date and timing of diagnosis of minor blunt head trauma",0.0338626230220545,0.000180954535173038,0.237925714963807,0.0277452149163679,0.0410535455148973,0.00778271901857378,0.0610160414126914,0.0217238524203404,0.0480477523322344
"3","6110 Documentation of Glasgow Coma Scale (GCS) score",0.00443873980840912,0,0.893224799949059,0.0286206002150223,0.53576349679871,-0.732093744660509,1.29647784167424,0.00528217454260358,0.663036310300228
"4","6115 Onset date and timing of documentation of Glasgow Coma Scale (GCS) score",0.00443873980840912,0,0.893224799949059,0.0286206002150223,0.53576349679871,-0.732093744660509,1.29647784167424,0.00528217454260358,0.663036310300228
"5","6120 Head CT for trauma ordered",0.0488360703644852,0,0.278877035373386,0.0242855528695718,0.139321998983112,-0.148269116300738,0.311876668153421,0.0121591056483164,0.183424248004246
"6","6125 Onset date and timing of head CT for trauma ordered",0.0488360703644852,0,0.278877035373386,0.0242855528695718,0.139321998983112,-0.148269116300738,0.311876668153421,0.0121591056483164,0.183527882223198
"7","6130 Diagnosis of Ventricular shunt",0,0,0.00189865907203038,5.84803871401629e-05,0.000207296849087894,-0.000164744305781434,0.00043052154200949,3.20384351638422e-05,0.000284223272645083
"8","6135 Onset date and timing of diagnosis of Ventricular shunt",0,0,0.00189865907203038,5.84803871401629e-05,0.000207296849087894,-0.000164744305781434,0.00043052154200949,3.20384351638422e-05,0.000284223272645083
"9","6140 Diagnosis of Brain Tumor",0.000344732348087692,0,0.00830663344013291,0.000209467951403435,0.000615967780146885,-0.000400281791711739,0.00122571752326206,9.43215408756074e-05,0.000969257256825662
"10","6145 Onset date and timing of diagnosis of Brain Tumor",0.000344732348087692,0,0.00830663344013291,0.000209467951403435,0.000615967780146885,-0.000400281791711739,0.00122571752326206,9.43215408756074e-05,0.000969257256825662
