"","EDName","High_OL_count","LOW_OL_count"
"1","Baltimore Washington Medical Center Department of Emergency Medicine",1,3
"2","Beloit Memorial Hospital",1,2
"3","Bon Secours Hospital",2,2
"4","Bronson Battle Creek",1,0
"5","Bronson LakeView Hospital",1,0
"6","Bronson Methodist Hospital",1,0
"7","CHI Baylor St. Luke's CEC Holcombe",2,0
"8","CHI Baylor-St. Luke's CEC Pearland",2,0
"9","CHI Baylor-St. Luke's CEC San Felipe",2,0
"10","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ",2,0
"11","CHI St. Luke's Lakeside Hospital",2,0
"12","CHI St. Luke's Springwoods Village Hospital",3,0
"13","CHI St. Luke's Sugarland Hospital",2,0
"14","CHI St. Luke's Vintage Hospital",3,0
"15","CHI St. Luke's Woodlands Hospital",3,0
"16","Cape Canaveral Hospital",1,0
"17","Carolina East Medical Center (CRAV)",2,0
"18","Carolinas HealthCare System Harrisburg (HARG)",1,0
"19","Carolinas HealthCare System Kannapolis (KANN)",1,0
"20","Carolinas HealthCare System Lincoln (LINC)",1,2
"21","Carolinas HealthCare System NorthEast (NORT)",1,1
"22","Carolinas HealthCare System Pineville (PINE)",1,0
"23","Carolinas HealthCare System SouthPark (MORR)",1,0
"24","Carolinas HealthCare System Steele Creek (STEE)",1,0
"25","Carolinas HealthCare System University (UNIV)",1,0
"26","Carolinas Medical Center - Huntersville (HUNT)",1,0
"27","Carolinas Medical Center - Mercy (MERC)",1,2
"28","Carson Valley Medical Center",1,0
"29","Carteret Health Care (CART)",1,0
"30","Centinela Hospital Medical Center",3,1
"31","CentraCare Health St. Cloud Hospital",1,0
"32","Coast Plaza Hospital",1,0
"33","College Medical Center",5,0
"34","Doctors Hospital at Renaissance",1,0
"35","East Los Angeles Doctors Hospital",1,0
"36","Emerson Hospital",1,0
"37","Fairview Ridges Hospital",2,0
"38","Fairview Southdale Hospital",2,0
"39","Flagstaff Medical Center",1,1
"40","Florida Hospital Carrollwood (CARO)",2,0
"41","Florida Hospital Heartland Medical Center (HART)",3,0
"42","Florida Hospital Lake Placid (PLAC)",1,0
"43","Florida Hospital North Pinellas (NPIN)",3,0
"44","Florida Hospital Tampa (TAMP)",2,0
"45","Florida Hospital Wauchula (WAUC)",2,2
"46","Florida Hospital Wesley Chapel (WECH)",4,0
"47","Florida Hospital Zephyrhills (FLOZ)",3,3
"48","Gila Regional Medical Center",1,0
"49","Goleta Valley Cottage Hospital",3,0
"50","Health Partners Methodist Hospital",5,0
"51","Hollywood Presbyterian Medical Center",1,1
"52","Holmes Regional Medical Center",1,1
"53","Holy Family Hospital",1,2
"54","Indian River Medical Center",1,0
"55","Inspira Health Center Bridgeton SED",1,0
"56","Inspira Medical Center Elmer",1,0
"57","Inspira Medical Center Vineland ED",1,0
"58","Little Company of Mary Hospital (Providence)",1,0
"59","Memorial Hospital of Gardena",1,3
"60","Mercy Health - Clermont Hospital (MEHE)",1,0
"61","Mercy Medical Center",1,0
"62","Mission Community Hospital",4,2
"63","Mt. San Rafael Hospital",1,0
"64","MultiCare Auburn Medical Center",7,2
"65","North Mississippi Medical Center",1,0
"66","NorthPointe Immediate Care",1,2
"67","Norton Women and Childrens Hospital",1,2
"68","Olathe Medical Center",1,0
"69","Palm Bay Hospital",1,2
"70","Palm Harbor Emergency Room (PALM)",1,0
"71","Parkview Community Hospital Medical Center",1,0
"72","Penn Highlands Brookville",1,0
"73","Penn Highlands Clearfield",1,2
"74","Penn Highlands Elk",1,0
"75","Providence Regional Medical Center",1,0
"76","Providence St.Joseph Medical Center",1,0
"77","Providence Tarzana Medical Center",1,0
"78","Queen Anne's Emergency Center (UMMS)",1,4
"79","Queen's Medical Center West",5,0
"80","Rhode Island Hospital",7,0
"81","Robert Wood Johnson University Hospital",3,0
"82","SMRMC",1,2
"83","Sacred Heart Medical Center",1,1
"84","Sacred Heart Medical Center Pediatrics",2,4
"85","Santa Barbara Cottage Hospital",5,1
"86","Shasta Regional Medical Center",1,2
"87","St. Joseph's/Candler",1,0
"88","Swedish Issaquah",1,0
"89","Swedish Medical Center Cherry Hill Campus",1,0
"90","Swedish Medical Center First Hill Campus",3,0
"91","Swedish Mill Creek",1,0
"92","Swedish Redmond Campus",1,0
"93","Telluride Regional Medical Center ED",1,1
"94","The Miriam Hospital",7,0
"95","The Queens Medical Center",5,0
"96","The Urgency Room - Eagan",1,0
"97","The Urgency Room - Vadnais",1,0
"98","The Urgency Room - Woodbury",1,2
"99","The Valley Hospital",1,0
"100","UM Shore Medical Center at Dorchester (UMMS)",1,0
"101","UM Shore Medical Center at Easton (UMMS)",3,4
"102","UMMC Midtown Campus (UMMS)",1,4
"103","University of Maryland Harford Memorial Hospital (UMMS)",1,0
"104","University of Maryland Medical Center (UMMS)",1,0
"105","University of Maryland Upper Chesapeake Medical Center (UMMS)",1,0
"106","Urgent Care at Doctors Hospital at Renaissance",1,2
"107","Valley Presbyterian Hospital",1,2
"108","Viera Hospital",1,0
