"","EDName","High_OL_count","LOW_OL_count"
"1","Baltimore Washington Medical Center Department of Emergency Medicine",2,5
"2","Beloit Memorial Hospital",8,2
"3","Bon Secours Hospital",5,2
"4","Bronson Battle Creek",6,2
"5","Bronson LakeView Hospital",2,2
"6","Bronson Methodist Hospital",6,2
"7","CHI Baylor St. Luke's CEC Holcombe",5,2
"8","CHI Baylor-St. Luke's CEC Pearland",3,6
"9","CHI Baylor-St. Luke's CEC San Felipe",3,2
"10","CHI Baylor-St. Luke's Medical Center, Texas Medical Center campus ",7,0
"11","CHI St. Luke's Lakeside Hospital",5,2
"12","CHI St. Luke's Springwoods Village Hospital",8,2
"13","CHI St. Luke's Sugarland Hospital",5,0
"14","CHI St. Luke's Vintage Hospital",4,0
"15","CHI St. Luke's Woodlands Hospital",4,0
"16","Cape Canaveral Hospital",2,0
"17","Carolina East Medical Center (CRAV)",3,2
"18","Carolinas HealthCare System Harrisburg (HARG)",2,0
"19","Carolinas HealthCare System Kannapolis (KANN)",2,6
"20","Carolinas HealthCare System Lincoln (LINC)",2,0
"21","Carolinas HealthCare System NorthEast (NORT)",4,1
"22","Carolinas HealthCare System Pineville (PINE)",2,0
"23","Carolinas HealthCare System SouthPark (MORR)",2,0
"24","Carolinas HealthCare System Steele Creek (STEE)",2,0
"25","Carolinas HealthCare System University (UNIV)",2,0
"26","Carolinas Medical Center - Huntersville (HUNT)",4,0
"27","Carolinas Medical Center - Mercy (MERC)",2,2
"28","Carson Valley Medical Center",4,2
"29","Carteret Health Care (CART)",2,0
"30","Centinela Hospital Medical Center",6,1
"31","CentraCare Health St. Cloud Hospital",4,0
"32","Coast Plaza Hospital",6,0
"33","College Medical Center",4,0
"34","Doctors Hospital at Renaissance",4,0
"35","East Los Angeles Doctors Hospital",2,2
"36","Emerson Hospital",6,0
"37","Fairview Ridges Hospital",3,0
"38","Fairview Southdale Hospital",3,0
"39","Flagstaff Medical Center",6,1
"40","Florida Hospital Carrollwood (CARO)",3,2
"41","Florida Hospital Heartland Medical Center (HART)",2,0
"42","Florida Hospital Lake Placid (PLAC)",2,0
"43","Florida Hospital North Pinellas (NPIN)",2,0
"44","Florida Hospital Tampa (TAMP)",3,0
"45","Florida Hospital Wauchula (WAUC)",3,2
"46","Florida Hospital Wesley Chapel (WECH)",3,0
"47","Florida Hospital Zephyrhills (FLOZ)",4,1
"48","Gila Regional Medical Center",2,0
"49","Goleta Valley Cottage Hospital",2,2
"50","Health Partners Methodist Hospital",14,0
"51","Hollywood Presbyterian Medical Center",2,11
"52","Holmes Regional Medical Center",2,1
"53","Holy Family Hospital",12,2
"54","Indian River Medical Center",6,4
"55","Inspira Health Center Bridgeton SED",2,4
"56","Inspira Medical Center Elmer",2,4
"57","Inspira Medical Center Vineland ED",2,0
"58","Little Company of Mary Hospital (Providence)",6,2
"59","Memorial Hospital of Gardena",2,9
"60","Mercy Health - Clermont Hospital (MEHE)",2,0
"61","Mercy Medical Center",2,2
"62","Mission Community Hospital",3,8
"63","Mt. San Rafael Hospital",2,0
"64","MultiCare Auburn Medical Center",4,4
"65","North Mississippi Medical Center",2,0
"66","NorthPointe Immediate Care",8,6
"67","Norton Women and Childrens Hospital",4,0
"68","Olathe Medical Center",2,2
"69","Palm Bay Hospital",2,2
"70","Palm Harbor Emergency Room (PALM)",2,4
"71","Parkview Community Hospital Medical Center",2,2
"72","Penn Highlands Brookville",2,4
"73","Penn Highlands Clearfield",2,2
"74","Penn Highlands Elk",2,4
"75","Providence Regional Medical Center",8,0
"76","Providence St.Joseph Medical Center",2,4
"77","Providence Tarzana Medical Center",2,14
"78","Queen Anne's Emergency Center (UMMS)",2,2
"79","Queen's Medical Center West",4,2
"80","Rhode Island Hospital",10,0
"81","Robert Wood Johnson University Hospital",16,0
"82","SMRMC",2,4
"83","Sacred Heart Medical Center",4,1
"84","Sacred Heart Medical Center Pediatrics",5,4
"85","Santa Barbara Cottage Hospital",10,3
"86","Shasta Regional Medical Center",2,2
"87","St. Joseph's/Candler",4,10
"88","Swedish Issaquah",12,0
"89","Swedish Medical Center Cherry Hill Campus",10,0
"90","Swedish Medical Center First Hill Campus",14,0
"91","Swedish Mill Creek",8,8
"92","Swedish Redmond Campus",6,6
"93","Telluride Regional Medical Center ED",2,3
"94","The Miriam Hospital",4,2
"95","The Queens Medical Center",12,0
"96","The Urgency Room - Eagan",2,2
"97","The Urgency Room - Vadnais",2,4
"98","The Urgency Room - Woodbury",2,2
"99","The Valley Hospital",6,2
"100","UM Shore Medical Center at Dorchester (UMMS)",6,4
"101","UM Shore Medical Center at Easton (UMMS)",4,2
"102","UMMC Midtown Campus (UMMS)",2,2
"103","University of Maryland Harford Memorial Hospital (UMMS)",11,4
"104","University of Maryland Medical Center (UMMS)",2,2
"105","University of Maryland Upper Chesapeake Medical Center (UMMS)",10,1
"106","Urgent Care at Doctors Hospital at Renaissance",2,6
"107","Valley Presbyterian Hospital",2,8
"108","Viera Hospital",4,0
